Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim,PF,31,SAC,6,51,5.5,.317,.000,.286,14.2,9.1,11.6,11.1,1.0,0.0,6.0,14.7,,0.0,0.0,0.0,-0.005,,-3.6,-2.1,-5.7,0.0
2,Arron Afflalo,SG,22,DET,75,970,10.2,.494,.199,.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,,0.5,1.4,1.9,.092,,-2.3,0.6,-1.6,0.1
3,Maurice Ager,SG,23,TOT,26,165,1.8,.363,.292,.185,2.8,6.3,4.6,8.0,0.0,0.4,7.9,21.3,,-0.4,0.0,-0.4,-0.114,,-6.8,-4.5,-11.3,-0.4
3,Maurice Ager,SG,23,DAL,12,77,-4.4,.253,.296,.222,1.6,4.4,3.0,7.4,0.0,1.0,9.2,19.8,,-0.3,0.0,-0.3,-0.181,,-9.6,-3.5,-13.1,-0.2
3,Maurice Ager,SG,23,NJN,14,88,7.1,.443,.289,.158,3.9,7.9,5.9,8.4,0.0,0.0,6.9,22.7,,-0.1,0.0,-0.1,-0.056,,-4.4,-5.4,-9.8,-0.2
4,Blake Ahearn,PG,23,MIA,12,177,9.0,.495,.596,.544,0.7,12.4,6.4,17.2,1.8,0.0,18.5,23.2,,-0.1,0.1,0.0,-0.006,,-2.8,-2.8,-5.6,-0.2
5,LaMarcus Aldridge,PF,22,POR,76,2649,18.5,.523,.006,.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,,3.5,2.8,6.2,.113,,0.1,0.7,0.8,1.8
6,Malik Allen,PF,29,TOT,73,1096,9.8,.500,.006,.076,7.0,13.6,10.4,6.8,0.9,2.2,11.7,16.1,,0.1,0.9,1.0,.045,,-3.6,-0.3,-3.9,-0.5
6,Malik Allen,PF,29,NJN,48,763,10.1,.489,.008,.050,6.4,13.1,9.7,6.8,1.0,2.1,10.7,17.9,,-0.2,0.5,0.4,.023,,-4.3,-0.9,-5.1,-0.6
6,Malik Allen,PF,29,DAL,25,333,9.1,.540,.000,.182,8.6,14.8,11.8,6.7,0.6,2.2,15.4,11.8,,0.3,0.4,0.7,.096,,-2.2,1.0,-1.1,0.1
7,Ray Allen,SG,32,BOS,73,2624,16.4,.584,.458,.240,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,,5.6,4.1,9.7,.177,,3.2,-0.1,3.1,3.4
