Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Zaid Abdul-Aziz,C,29,SEA,27,223,16.4,.490,,.387,13.5,21.8,17.6,9.7,1.6,3.6,,,,0.2,0.3,0.6,.119,,-1.1,1.1,0.0,0.1
2,Kareem Abdul-Jabbar*,C,28,LAL,82,3379,27.2,.567,,.368,8.0,30.5,19.6,19.4,1.6,4.9,,,,9.8,7.2,17.0,.242,,6.2,4.0,10.2,10.5
3,Alvan Adams,C,21,PHO,80,2656,21.7,.507,,.265,8.9,20.7,14.9,27.2,2.1,2.4,,,,3.3,3.9,7.2,.130,,4.3,2.4,6.7,5.8
4,Don Adams,SF,28,BUF,56,704,9.1,.446,,.335,5.8,15.4,10.8,13.2,1.9,0.5,,,,-0.5,0.8,0.3,.023,,-3.8,0.5,-3.3,-0.2
5,Lucius Allen,PG,28,LAL,76,2388,15.1,.501,,.253,2.7,5.8,4.3,21.1,1.9,0.4,,,,2.4,1.5,3.9,.079,,0.7,-1.5,-0.8,0.7
6,Dan Anderson,PG,25,POR,52,614,13.1,.546,,.337,2.6,7.6,5.2,19.2,1.5,0.2,,,,0.7,0.4,1.1,.086,,-1.5,-1.7,-3.3,-0.2
7,Jerome Anderson,SG,22,BOS,22,126,13.0,.586,,.356,3.1,7.0,5.1,6.9,1.1,1.2,,,,0.2,0.1,0.3,.120,,-0.9,-1.8,-2.7,0.0
8,Tiny Archibald*,PG,27,KCK,78,3184,20.1,.521,,.395,2.1,4.7,3.4,31.1,1.8,0.2,,,,6.7,1.3,8.0,.121,,4.8,-2.6,2.3,3.4
9,Jim Ard,C,27,BOS,81,853,11.3,.422,,.340,11.0,22.3,16.7,7.3,0.6,2.1,,,,-0.4,1.3,0.9,.052,,-4.2,-0.1,-4.3,-0.5
10,Dennis Awtrey,C,27,PHO,74,1376,11.2,.510,,.359,7.4,15.6,11.6,15.3,0.7,0.9,,,,0.7,1.1,1.8,.062,,-2.2,0.1,-2.1,0.0
11,Gus Bailey,SG,24,HOU,30,262,11.9,.392,,.364,8.5,12.0,10.3,19.8,2.5,1.6,,,,-0.2,0.2,0.0,-0.004,,-2.9,0.4,-2.5,0.0
12,Mike Bantom,SF,24,TOT,73,1571,12.5,.511,,.418,9.0,16.9,12.9,8.9,0.8,0.9,,,,1.4,1.3,2.7,.083,,-1.1,-0.5,-1.6,0.1
12,Mike Bantom,SF,24,PHO,7,68,9.1,.372,,.192,11.3,25.3,18.4,5.9,1.3,1.6,,,,-0.1,0.1,0.0,-0.020,,-7.0,-1.6,-8.7,-0.1
12,Mike Bantom,SF,24,SEA,66,1503,12.7,.518,,.431,8.9,16.6,12.6,9.0,0.8,0.9,,,,1.5,1.2,2.8,.088,,-0.9,-0.5,-1.3,0.3
13,Jim Barnett,SG,31,NYK,71,1026,12.5,.496,,.307,4.7,4.1,4.4,12.4,1.1,0.2,,,,1.2,0.4,1.5,.072,,-0.9,-2.2,-3.1,-0.3
14,Rick Barry*,SF,31,GSW,81,3122,18.3,.483,,.192,2.3,12.8,7.6,22.6,2.9,0.4,,,,4.6,5.1,9.6,.148,,2.0,1.5,3.4,4.3
15,Jerry Baskerville,SF,24,PHI,21,105,8.0,.393,,.615,12.0,13.8,12.9,3.6,2.6,2.4,,,,-0.2,0.2,0.0,-0.019,,-4.9,0.2,-4.7,-0.1
16,Butch Beard,PG,28,TOT,75,1704,14.5,.517,,.387,6.1,12.7,9.4,17.3,2.2,0.3,,,,1.9,1.8,3.7,.105,,1.1,1.1,2.2,1.8
16,Butch Beard,PG,28,CLE,15,255,14.5,.456,,.411,5.5,12.1,8.7,23.7,1.9,0.4,,,,0.1,0.3,0.4,.073,,0.7,0.0,0.6,0.2
16,Butch Beard,PG,28,NYK,60,1449,14.5,.530,,.382,6.2,12.8,9.5,16.2,2.3,0.2,,,,1.8,1.5,3.3,.110,,1.2,1.2,2.5,1.6
17,Ron Behagen,PF,25,NOJ,66,1733,16.3,.494,,.259,10.8,21.0,15.9,12.1,1.7,0.8,,,,1.8,2.5,4.3,.118,,0.5,0.9,1.4,1.5
18,Dennis Bell,SF,24,NYK,10,76,8.8,.395,,.333,5.3,13.7,9.5,5.2,3.6,0.7,,,,-0.1,0.1,0.0,.009,,-5.0,1.3,-3.7,0.0
19,Leon Benbow,SG,25,CHI,76,1586,10.9,.443,,.254,3.9,7.6,5.6,15.4,1.9,0.4,,,,0.1,1.4,1.5,.045,,-2.0,-0.4,-2.4,-0.2
20,Henry Bibby,PG,26,NOJ,79,1772,13.5,.500,,.404,3.2,6.9,5.0,18.3,1.6,0.1,,,,1.6,1.4,2.9,.079,,-0.5,-1.2,-1.7,0.1
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Bob Bigelow,SF,22,KCK,31,163,10.0,.455,,.702,5.6,12.7,9.1,7.4,1.1,0.3,,,,0.0,0.1,0.0,.014,,-4.6,-2.5,-7.1,-0.2
